Kanji,Kana,English,Romaji
とにかく,とにかく,anyway; in any case,tonikaku  
楽しみ,たのしみ,pleasure; enjoyment,tanoshimi  
おしゃべり,おしゃべり,chatting; talking,oshaberi  
読書,どくしょ,reading; enjoying books,dokusho  
寒気,さむけ,chill; cold sensation,samuke  
夕焼け,ゆうやけ,sunset glow; evening colors,yuuyake  
傷める,いためる,to damage; to injure,itameru  
くすぐったい,くすぐったい,ticklish; slightly embarrassed,kusuguttai  
泥棒,どろぼう,thief; burglar; robber,dorobou  
襖,ふすま,sliding door; paper partition,fusuma  
美人,びじん,beautiful person; beauty,bijin  
タイプライター,たいぷらいたー,typewriter; typing machine,taipuraitaa  
再来年,さらいねん,the year after next,sarainen  
冗談,じょうだん,joke; jest,joudan  
近付く,ちかづく,to approach; to get closer,chikazuku  
電話帳,でんわちょう,telephone directory; phone book,denwachou  
ベル,べる,bell; buzzer,beru  
干す（ほす）,ほす,to dry; to air out,hosu  
金額,きんがく,amount of money; sum,kingaku  
蚊,か,mosquito; small insect,ka  
悲しむ,かなしむ,to grieve; to feel sad,kanashimu  
クーラー,くーらー,air conditioner; cooling unit,kuuraa  
失礼,しつれい,rudeness; excuse me,shitsurei  
洗濯機,せんたくき,washing machine,sentakuki  
豆腐,とうふ,tofu; bean curd,toofu  
昼寝,ひるね,nap; afternoon rest,hirune  
不便,ふべん,inconvenience; discomfort,fuben  
ミルク,みるく,milk; dairy product,miruku  
向こう側,むこうがわ,opposite side; far side,mukougawa  
億,おく,one hundred million,oku  
お礼,おれい,thanks; gratitude,orei  
着せる,きせる,to dress; to clothe,kiseru  
サラダ,さらだ,salad; vegetable dish,sarada  
代える,かえる,to replace; to exchange,kaeru  
四角,しかく,rectangle; square,shikaku  
急行,きゅうこう,express train; rapid service,kyuukou  
交差点,こうさてん,intersection; crossroads,kousaten  
覚める,さめる,to wake up; to regain sense,sameru  
昼休み,ひるやすみ,lunch break; noon rest,hiruyasumi  
ベルト,べると,belt; waist accessory,beruto  
真っ黒,まっくろ,completely black;makkuro,makkuro  
皆様,みなさま,everyone; ladies and gentlemen,minasama  
ラーメン,らーめん,ramen; noodle soup,raamen  
ライター,らいたー,lighter; fire starter,raitaa  
ワイシャツ,わいしゃつ,dress shirt; white shirt,waishatsu  
転ぶ,ころぶ,to fall down; to tumble,korobu  
シャワー,しゃわー,shower; bathing method,shawaa  
扇風機,せんぷうき,electric fan; air circulator,senpuuki  
遅刻,ちこく,being late; tardiness,chikoku  
釣る,つる,to fish; to catch,turu  
うどん,うどん,udon; thick wheat noodle,udon  
仮名,かな,Japanese syllabary; kana,kana  
記念日,きねんび,anniversary; memorial day,kinenbi  
下り,くだり,descent; going down,kudari  
掲示板,けいじばん,bulletin board; notice board,keijiban  
凍る,こおる,to freeze; to become ice,kooru  
ごみ,ごみ,trash; garbage; waste,gomi  
スーパーマーケット,すーぱーまーけっと,supermarket; grocery store,suupaamaaketto  
ぶらぶら,ぶらぶら,wandering; aimlessly walking,burabura  
アナウンサー,あなうんさー,announcer; broadcaster,anaunsaa  
自炊,じすい,cooking for oneself;jisui,jisui  
止める,とめる,to stop; to halt,tomeru  
年下,としした,one younger; junior,toshishita  
治す,なおす,to heal; to fix,naosu  
箸,はし,chopsticks; eating utensil,hashi  
花見,はなみ,cherry blossom viewing,hanami  
引き出し,ひきだし,drawer; withdrawal,hikidashi  
訳,わけ,reason; meaning; explanation,wake  
いかが,いかが,how; in what way,ikaga  
交通費,こうつうひ,transportation expenses,koutsuuhi  
ステレオ,すてれお,stereo; sound system,sutereo  
再会,さいかい,reunion; meeting again,saikai  
滑る,すべる,to slip; to glide,suberu  
早口,はやくち,fast talking; rapid speech,hayakuchi  
裏返す,うらがえす,to turn over; to flip,uragaesu  
角,かど,corner; edge,kado  
きらきら,きらきら,sparkling; glittering,kirakira  
三角,さんかく,triangle; triangular,sankaku  
激しい,はげしい,intense; violent; fierce,hageshii  
経営,けいえい,management; administration,keiei  
拡大,かくだい,expansion; enlargement,kakudai  
姿勢,しせい,posture; attitude,shisei  
周辺,しゅうへん,periphery; surroundings,shuuhen  
他,ほか,other; another,hoka  
達する,たっする,to reach; to attain,tassuru  
当時,とうじ,at that time; those days,touji  
当然,とうぜん,natural; obvious; reasonable,touzen  
能力,のうりょく,ability; capability; competence,nouryoku  
判断,はんだん,judgment; decision,handan  
過ぎる,すぎる,to pass by; to exceed,sugiru  
正確,せいかく,accurate; precise,seikaku  
戦争,せんそう,war; conflict,sensou  
放送,ほうそう,broadcast; transmission,housou  
習慣,しゅうかん,habit; custom,shuukan  
フィルム,ふぃるむ,film; photographic material,fiirumu  
受け付ける,うけつける,to accept; to receive,uketsukeru  
ダンス,だんす,dance; dancing,dansu  
こんなに,こんなに,this much; so; like this,konnani  
吹く,ふく,to blow; to exhale,fuku  
まあ,まあ,well; I guess; so-so,maa  
メール,めーる,email; message,meeru  
インターネット,いんたーねっと,Internet; online network,intaanetto  
出身,しゅっしん,origin; hometown; birthplace,shusshin  
職業,しょくぎょう,occupation; profession,shokugyou  
スター,すたー,star; celebrity,sutaa  
くだらない,くだらない,trivial; silly; worthless,kudaranai  
名簿,めいぼ,list of names; roster,meibo  
通常,つうじょう,usually; generally; normally,tsuujou  
家内,かない,one's wife; household,kanai  
消防署,しょうぼうしょ,fire station; firehouse,shoubousho  
再び,ふたたび,again; once more,futatabi  
大統領,だいとうりょう,president; chief executive,daitouryou  
入場券,にゅうじょうけん,admission ticket; entrance pass,nyuujouken  
ネックレス,ねっくれす,necklace; jewelry item,nekkuresu  
パジャマ,ぱじゃま,pajamas; sleepwear,pajama  
ボールペン,ぼーるぺん,ballpoint pen; writing tool,boorupen  
かゆい,かゆい,itchy; causing irritation,kayui  
覚ます,さます,to wake up; to sober,samasu  
すいか,すいか,watermelon; summer fruit,suika  
そば,そば,buckwheat noodles; nearby,soba  
特急,とっきゅう,limited express train,tokkyuu  
のり,のり,seaweed; glue; paste,nori  
大抵,たいてい,usually; generally; mostly,taitei  
バスケットボール,ばすけっとぼーる,basketball; sport,basukettobooru  
酔っ払う,よっぱらう,to get drunk; to become tipsy,yopparau  
どきどき,どきどき,pounding heart; nervousness,dokidoki  
欲しがる,ほしがる,to desire; to want (third person),hoshigaru  
早起き,はやおき,early rising; waking up early,hayaoki  
味噌汁,みそしる,miso soup; Japanese dish,misoshiru  
読み方,よみかた,way of reading; pronunciation,yomikata  
入り口,いりぐち,entrance; gateway,iriguchi  
降ろす,おろす,to unload; to take down,orosu  
掛かる,かかる,to take (time/money); to hang,kakaru  
サンドイッチ,さんどいっち,sandwich; bread snack,sandoicchi  
四角い,しかくい,square-shaped; rectangular,shikakui  
突き当たる,つきあたる,to collide; to hit; to end,tsukiataru  
乾かす,かわかす,to dry; to air out,kawakasu  
定期券,ていきけん,commuter pass; season ticket,teikiken  
にこにこ,にこにこ,smiling; cheerful,niconico  
下る,くだる,to go down; to descend,kudaru  
ウール,うーる,wool; fabric,uuru  
コーラ,こーら,cola; soft drink,koora  
トイレットペーパー,といれっとぺーぱー,toilet paper,toirettopeepaa  
乗り換え,のりかえ,transfer; changing trains,norikae  
灰皿,はいざら,ashtray; cigarette holder,haizara  
ハム,はむ,ham; deli meat,hamu  
床,ゆか,floor; ground,yuka  
ローマ字,ろーまじ,romanized Japanese; romaji,roomaji  
いちご,いちご,strawberry; red fruit,ichigo  
カレーライス,かれーらいす,curry rice; Japanese dish,kareeraisu  
キャッシュカード,きゃっしゅかーど,cash card; ATM card,kyasshukaado  
停留所,ていりゅうじょ,bus stop; station,teiryuujo  
床屋,とこや,barber; barbershop,tokoya  
歯磨き,はみがき,toothbrushing; dental care,hamigaki  
夕飯,ゆうはん,evening meal; dinner,yuuhan  
酔っ払い,よっぱらい,drunk person; intoxicated,yopparai  
例,れい,example; instance,rei  
お辞儀,おじぎ,bow; Japanese greeting,ojigi  
横断歩道,おうだんほどう,pedestrian crossing,oudanhodou  
ぐらぐら,ぐらぐら,shaking; wobbling,guragura  
航空便,こうくうびん,airmail; air transport,koukuubin  
ジャム,じゃむ,jam; fruit spread,jamu  
スリッパ,すりっぱ,slippers; indoor footwear,surippa  
畳む,たたむ,to fold; to close,tatamu  
トランプ,とらんぷ,playing cards; card game,toranpu  
日陰,ひかげ,shade; shadow,hikage  
文房具,ぶんぼうぐ,stationery; office supplies,bunbougu  
免許証,めんきょしょう,license; permit,menkyoshou  
訳す,やくす,to translate; to interpret,yakusu  
よろしい,よろしい,acceptable; good; fine,yoroshii  
両替,りょうがえ,currency exchange; money change,ryougae  
片付く,かたづく,to be tidied; to be settled,katazuku  
カップ,かっぷ,cup; container,kappu  
消しゴム,けしごむ,eraser; rubber,keshigomu  
スケート,すけーと,skating; ice skating,sukeeto  
鍋,なべ,pot; cooking utensil,nabe  
寝坊,ねぼう,oversleeping; late riser,nebou  
鋏,はさみ,scissors; cutting tool,hasami  
真っ青,まっさお,deep blue; pale, massa  
汚す,よごす,to dirty; to soil,yogosu  
忘れ物,わすれもの,forgotten item; lost property,wasuremono  
掛け算,かけざん,multiplication; arithmetic,kakezan  
臭い,くさい,smelly; stinky,kusai  
突き当たり,つきあたり,end of street; collision,tsukiatari  
マフラー,まふらー,scarf; muffler,mafur  
桃,もも,peach; fruit,momo  
アクセサリー,あくせさりー,accessory; jewelry,akusarii  
あくび,あくび,yawn; sleepy gesture,akubi  
あめ,あめ,candy; sweet; rain,ame  
上り,のぼり,ascent; going up,nobori  
なるべく,なるべく,as much as possible,narubeku  
じっと,じっと,still; motionless, jitto  
食器,しょっき,dishware; utensils,shokki  
延ばす,のばす,to extend; to stretch,nobasu  
薬局,やっきょく,pharmacy; drugstore,yakkyoku  
雄,おす,male (animal); masculine,osu  
雌,めす,female (animal); feminine,mesu  
和風,わふう,Japanese style; traditional,wafuu  
いびき,いびき,snoring; sleep sound,ibiki  
ピクニック,ぴくにっく,picnic; outdoor activity,pikunikku  
地域,ちいき,region; area,chiiki  
勘違い,かんちがい,misunderstanding; mistake,kanchigai  
重要,じゅうよう,important; essential,juuyou  
主人,しゅじん,husband; master; owner,shujin  
お宅,おたく,your home; residence,otaku  
ハイキング,はいきんぐ,hiking; walking trip,haikingu  
畑,はたけ,field; farm,hatake  
ボーイフレンド,ぼーいふれんど,boyfriend; male partner,booifurendo  
イヤリング,いやりんぐ,earrings; jewelry,iyaringu  
ガールフレンド,がーるふれんど,girlfriend; female partner,gaaarufurendo  
柔らか,やわらか,soft; gentle,yawaraka  
納豆,なっとう,fermented soybeans; Japanese food,nattou  
別に,べつに,not particularly; besides,betsuni  
どうしても,どうしても,by all means; no matter what,doushitemo  
父親,ちちおや,father; dad,chichioya  
誘う,さそう,to invite; to tempt,sasou  
母親,ははおや,mother; mom,hahaoya  
昼前,ひるまえ,before noon; morning,hirumae  
ふらふら,ふらふら,dizzy; unsteady; aimlessly,furafura  
こぼす,こぼす,to spill; to complain,kobosu  
持ってくる,もってくる,to bring; to carry,motte kuru  
振り向く,ふりむく,to turn around; to look back,furimuku  
洗面所,せんめんじょ,washroom; bathroom,senmenjo  
外側,そとがわ,outside; exterior,sotogawa  
段々,だんだん,gradually; little by little,dandan  
包む,つつむ,to wrap; to cover,tsutsumu  
無くなる,なくなる,to disappear; to be lost,nakunaru  
豚,ぶた,pig; pork,buta  
褒める,ほめる,to praise; to admire,homeru  
沸かす,わかす,to boil; to heat,wakasu  
暖める,あたためる,to warm; to heat up,atatameru  
換える,かえる,to exchange; to replace,kaeru  
安っぽい,やすっぽい,cheap-looking; tacky,yasuppoi  
ぎらぎら,ぎらぎら,glittering; glaring,giragira  
何とか,なんとか,somehow; something,nantoka  
いよいよ,いよいよ,finally; increasingly,iyoiyo  
がらがら,がらがら,empty; rattling noise,garagara  
缶詰,かんづめ,canned food; confinement,kandzume  
怪我,けが,injury; wound,kega  
寒さ,さむさ,coldness; chill,samusa  
祝日,しゅくじつ,holiday; festival day,shukujitsu  
すき焼き,すきやき,Japanese hotpot; sukiyaki,sukiyaki  
葉書,はがき,postcard; note,hagaki  
掃く,はく,to sweep; to brush,haku  
何しろ,なにしろ,anyhow; in any case,nanishiro  
どんどん,どんどん,rapidly; continuously,dondon  
ぺこぺこ,ぺこぺこ,very hungry; bowing repeatedly,pekopeko 
ぺらぺら,ぺらぺら,fluent; thin; flimsy,perapera  
レインコート,れいんこーと,raincoat; waterproof coat,reinkooto  
アイス,あいす,ice cream; ice,aisu  
塩辛い,しおからい,salty; heavily seasoned,shiokarai  
セロテープ,せろてーぷ,cellophane tape; adhesive tape,seroteepu  
大幅,おおはば,substantial; significant,oohaba  
教育,きょういく,education; teaching,kyouiku  
工事,こうじ,construction; work,kouji  
担当,たんとう,in charge; responsibility,tantou  
法律,ほうりつ,law; legislation,houritsu  
丸,まる,round; circle; perfection,maru  
発表,はっぴょう,announcement; presentation,happyou  
研究,けんきゅう,research; study,kenkyuu  
一方,いっぽう,one side; meanwhile,ippou  
国内,こくない,domestic; within the country,kokunai  
全体,ぜんたい,whole; entirety; general,zentai  
後,あと,after; later; behind,ato  
人間,にんげん,human being; mankind,ningen  
刺身,さしみ,sashimi; sliced raw fish,sashimi  
ばら,ばら,rose; scattered; loose,bara  
ねずみ,ねずみ,mouse; rat,nezumi  
以下,いか,below; less than,ika  
昔,むかし,old times; long ago,mukashi  
訳,わけ,reason; explanation; meaning,wake  
違い,ちがい,difference; mistake,chigai  
しっかり,しっかり,firmly; steadily; properly,shikkari  
将来,しょうらい,future; prospects,shourai  
不思議,ふしぎ,wonder; mystery; strange,fushigi  
決して,けっして,never; by no means,kesshite  
失敗,しっぱい,failure; mistake,shippai  
番,ばん,turn; number; watch,ban  
出会う,であう,to meet; to encounter,deau  
悩む,なやむ,to worry; to be troubled,nayamu  
汗,あせ,sweat; perspiration,ase  
すっかり,すっかり,completely; thoroughly,sukkari  
代わり,かわり,substitute; in place of,kawari  
一言,ひとこと,a word; brief comment,hitokoto  
豊か,ゆたか,abundant; rich; plentiful,yutaka  
接続,せつぞく,connection; attachment,setsuzoku  
抱える,かかえる,to hold; to carry; to have,kakaeru  
エンジン,えんじん,engine,enjin  
少女,しょうじょ,girl; young lady,shoujo  
無駄,むだ,waste; uselessness,muda  
自動,じどう,automatic; self-moving,jidou  
先輩,せんぱい,senior; elder,senpai  
眺める,ながめる,to view; to gaze at,nagameru  
書類,しょるい,document; papers,shorui  
年月,ねんげつ,time; years; months,nengatsu  
燃やす,もやす,to burn; to ignite,moyasu  
線路,せんろ,railroad track; railway line,senro  
水着,みずぎ,swimsuit; bathing suit,mizugi  
可愛らしい,かわいらしい,cute; lovely; charming,kawairashii  
仲良し,なかよし,close friend; intimate relationship,nakayoshi  
梅干し,うめぼし,pickled plum,umeboshi  
ドレス,どれす,dress,doresu  
尽くす,つくす,to exhaust; to devote; to do one's best,tsukusu  
地球,ちきゅう,Earth; the globe,chikyuu  
不親切,ふしんせつ,unkind; inconsiderate,fushinsetsu  
からから,からから,dry; parched; rattling,karakara  
本箱,ほんばこ,bookshelf; bookcase,honbako  
横書き,よこがき,horizontal writing,yokogaki  
そば屋,そばや,soba noodle shop,sobaya  
加工,かこう,processing; manufacturing,kakou  
実験,じっけん,experiment; test,jikken  
愛する,あいする,to love; to cherish,aisuru  
あんまり,あんまり,(not) very; (not) much; excessive,anmari  
いきなり,いきなり,suddenly; abruptly; without warning,ikinari  
表,おもて,front; surface; exterior,omote  
汚れ,よごれ,dirt; stain, yogore  
間,あいだ,space; interval; between,aida  
紫,むらさき,purple; violet,murasaki  
灰色,はいいろ,gray; ash color,haiiro  
血,ち,blood,chi  
顎,あご,jaw; chin,ago  
始めに,はじめに,at first; in the beginning,hajimeni  
暖まる,あたたまる,to warm up; to get warm,atatamaru  
お世辞,おせじ,flattery; compliment,oseji  
袋,ふくろ,bag; sack,fukuro  
長袖,ながそで,long sleeves,nagasode  
半袖,はんそで,short sleeves,hansode  
形,かたち,shape; form; figure,katachi  
景色,けしき,scenery; view; landscape,keshiki  
ざあざあ,ざあざあ,sound of heavy rain; pouring,zāzā  
再来月,さらいげつ,the month after next,saraigetsu  
泊める,とめる,to lodge; to put up for the night,tomeru  
叱る,しかる,to scold; to reprimand,shikaru  
騒ぐ,さわぐ,to make noise; to be rowdy,sawagu  
車道,しゃどう,roadway; traffic lane,shadou  
掃除機,そうじき,vacuum cleaner,soujiki  
剃る,そる,to shave,soru  
貼る,はる,to stick; to paste,haru  
台,だい,stand; counter for machines,dai  
主に,おもに,mainly; primarily,omoni  
倒す,たおす,to knock over; to overthrow,taosu  
星,ほし,star; celestial body,hoshi  
長女,ちょうじょ,eldest daughter,choujo  
爪,つめ,fingernail; claw,tsume  
缶,かん,can; tin,kan  
とんとん,とんとん,tapping sound; evenly matched,ton-ton  
袖,そで,sleeve,sode  
濡れる,ぬれる,to get wet,nureru  
パーセント,ぱーせんと,percent,pāsento  
上がる,あがる,to rise; to go up,agaru  
拍手,はくしゅ,applause; clapping,hakushu  
弾く,ひく,to play (a string instrument),hiku  
ひも,ひも,string; cord,himo  
昼過ぎ,ひるすぎ,early afternoon,hirusugi  
船,ふね,boat; ship,fune  
まく,まく,to scatter; to sow,maku  
姪,めい,niece,mei  
個人,こじん,individual; personal,kojin  
歌手,かしゅ,singer, kashu  
社員,しゃいん,company employee,shain  
不動産屋,ふどうさんや,real estate agent,fudousanya  
最大,さいだい,maximum; largest,saidai  
動き,うごき,movement; motion,ugoki  
事件,じけん,incident; event; case,jiken  
過去,かこ,past; bygone days,kako  
協力,きょうりょく,cooperation; collaboration,kyouryoku  
時期,じき,time; season; period,jiki  
経つ,たつ,to pass (time); to elapse,tatsu  
雷,かみなり,thunder; lightning,kaminari  
責任,せきにん,responsibility; duty,sekinen  
願う,ねがう,to wish; to hope; to request,negau  
発見,はっけん,discovery; finding,hakken  
気,き,spirit; mood; atmosphere,ki  
美容院,びよういん,beauty salon,biyouin  
状況,じょうきょう,situation; circumstances,joukyou  
目的,もくてき,purpose; objective,mokuteki  
企業,きぎょう,enterprise; corporation,kigyou  
釣り,つり,fishing; angling,tsuri  
漫画,まんが,manga; comic book,manga  
温泉,おんせん,hot spring; spa,onsen  
トレーニング,とれーにんぐ,training,toreeningu  
噂,うわさ,rumor; gossip,uwasa  
本物,ほんもの,genuine article; real thing,honmono  
アイデア,あいであ,idea,aidea  
地下,ちか,underground; basement,chika  
マーケット,まーけっと,market,maaketto  
スケジュール,すけじゅーる,schedule,sukejuuru  
出張,しゅっちょう,business trip,shucchou  
コック,こっく,cook; chef,kokku  
正午,しょうご,noon; midday,shougo  
ブラシ,ぶらし,brush,burashi  
書き取る,かきとる,to write down; to note,kakitoru  
歓迎,かんげい,welcome; reception,kangei  
開発,かいはつ,development; exploitation,kaihatsu  
郵便屋さん,ゆうびんやさん,postman; mail carrier,yuubinyasan  
会長,かいちょう,president (of a society); chairman,kaichou  
金,きん,metal; gold,kin  
灰,はい,ash; ashes,hai  
骨,ほね,bone; skeleton; framework,hone  
風呂屋,ふろや,bathhouse,furoya  
細か,こまか,small; detailed; precise,komaka  
行き,いき,going; bound for,iki  
人々,ひとびと,people; everyone,hitobito  
寺,てら,temple; Buddhist temple,tera  
鶏,にわとり,chicken; hen; rooster,niwatori  
港,みなと,port; harbor,minato  
移る,うつる,to move (house); to transfer; to shift,utsuru  
異なる,ことなる,to differ; to vary; to disagree,kotonaru  
提供,ていきょう,offer; supply; providing,teikyou  
市民,しみん,citizen; townspeople,shimin  
患者,かんじゃ,patient (medical),kanja  
元旦,がんたん,New Year's Day (morning),gantan  
柔らかい,やわらかい,soft; tender; gentle,yawarakai  
似合う,にあう,to suit; to match; to look good on,niau  
確かめる,たしかめる,to confirm; to verify,tashikameru  
背中,せなか,back (of the body); spine,senaka  
肌,はだ,skin; surface; texture,hada  
順番,じゅんばん,order; turn (in line),junban  
まとも,まとも,decent; proper; straightforward,matomo  
ぴったり,ぴったり,perfectly; exactly; snugly,pittari  
思わず,おもわず,unintentionally; reflexively; involuntarily,omowazu  
より,より,more; rather; from (comparison),yori  
もったいない,もったいない,wasteful; a shame,mottainai  
情報,じょうほう,information; news,jouhou  
諦める,あきらめる,to give up; to abandon,akirameru  
懐かしい,なつかしい,nostalgic; dear,natsukashii  
怪しい,あやしい,suspicious; dubious,ayashii  
示す,しめす,to show; to indicate,shimesu  
たっぷり,たっぷり,ample; plenty; enough,tappuri  
早速,さっそく,immediately; at once,sassoku  
偶然,ぐうぜん,by chance; coincidence;unexpectedly,guuzen  
続き,つづき,continuation; sequel; next,tsuzuki  
合計,ごうけい,total; sum; amount,goukei  
傷,きず,wound; scratch; flaw,kizu  
面倒,めんどう,trouble; difficulty; hassle,mendou  
具合,ぐあい,condition; state; health; circumstance,guai  
中止,ちゅうし,cancellation; suspension; stoppage,chuushi  
手続き,てつづき,procedure; process,tetsuzuki  
結果,けっか,result; outcome,kekka  
建設,けんせつ,construction; building,kensetsu  
販売,はんばい,sale; selling; marketing,hanbai  
機能,きのう,function; feature; capability,kinou  
頃,ころ,time; around; approximately,koro  
日中,にっちゅう,daytime; during the day,nichuu  
今後,こんご,from now on; hereafter,kongo  
影響,えいきょう,influence; impact; effect,eikyou  
分野,ぶんや,field; area; division,bunya  
関する,かんする,related to; concerning,kansuru  
状態,じょうたい,condition; state; status,joutai  
価格,かかく,price; cost,kakaku  
姿,すがた,figure; appearance; form,sugata  
期待,きたい,expectation; hope; anticipation,kitai  
除く,のぞく,to exclude; to remove; to take away,nozoku  
一般,いっぱん,general; common; usual; universal,ippan  
表現,ひょうげん,expression; representation,hyougen  
完成,かんせい,completion; perfection; accomplishment,kansei  
変化,へんか,change; transformation,henka  
参加,さんか,participation; attendance,sanka  
土地,とち,land; soil; property,tochi  
検討,けんとう,consideration; examination,kentou  
開始,かいし,start; commencement; beginning,kaishi  
備える,そなえる,to prepare for; to equip; to furnish,sonaeru  
内容,ないよう,contents; substance; details,naiyou  
与える,あたえる,to give; to grant; to bestow,ataeru  
広がる,ひろがる,to spread; to extend; to expand,hirogaru  
事実,じじつ,fact; reality,jijitsu  
決定,けってい,decision; determination,kettei  
住宅,じゅうたく,residence; housing,jyuutaku  
代表,だいひょう,representative; delegation; proxy,daihyou  
命令,めいれい,command; order; decree,meirei  
立場,たちば,position; standpoint; situation,tachiba  
なお,なお,furthermore; still; in addition,nao  
計算,けいさん,calculation; computation; reckoning,keisan  
可能,かのう,possible; feasible; potential,kanou  
報告,ほうこく,report; information; statement,houkoku  
都市,とし,city; urban area; metropolis,toshi  
政治,せいじ,politics; government; administration,seiji  
競争,きょうそう,competition; contest; rivalry,kyousou  
原因,げんいん,cause; origin; source,genin  
活動,かつどう,activity; action,katsudou  
歴史,れきし,history; past events,reikishi  
表,おもて,surface; front; exterior,omote  
サイト,サイト,site (website); location; place,saito  
土産,みやげ,souvenir; gift,miyage  
臭い,におい,smell; odor (pleasant or unpleasant),nioi  
現金,げんきん,cash; ready money,genkin  
虫,むし,insect; bug; worm,mushi  
寄る,よる,to stop by; to approach; to gather,yoru  
田舎,いなか,countryside; rural area; hometown,inaka  
帰宅,きたく,returning home; going home,kitaku  
重大,じゅうだい,serious; important; significant,juudai  
マイナス,マイナス,minus; negative; drawback,mainasu  
稼ぐ,かせぐ,to earn; to make money, kasegu  
左右,さゆう,left and right; influence; control,sayuu  
痛み,いたみ,pain; ache; distress,itami  
誤解,ごかい,misunderstanding; misinterpretation,gokai  
文句,もんく,complaint; phrase; expression,monku  
欧米,おうべい,Europe and America; the West,oubei  
面接,めんせつ,interview; face-to-face meeting,mensetsu  
サイン,サイン,signature; autograph; sign,sain  
年中,ねんじゅう,all year round; throughout the year,nenjuu  
機嫌,きげん,mood; humor; temper,kigen  
居間,いま,living room; sitting room,ima  
度々,たびたび,often; repeatedly; frequently,tabitabi  
例文,れいぶん,example sentence; sample text,reibun  
怠ける,なまける,to be lazy; to neglect one's work,namakeru  
転勤,てんきん,job transfer; relocation; transfer (to a different office),tenkin  
政府,せいふ,government; administration,seifu  
所有,しょゆう,ownership; possession; property,shoyuu  
いずれ,いずれ,eventually; someday; sooner or later,izure  
対する,たいする,towards; regarding; in relation to,taisuru  
教会,きょうかい,church; Christian church,kyoukai  
ご存知,ごぞんじ,knowing (polite form); being aware of; familiarity,gozonji  
雀,すずめ,sparrow,suzume  
適当,てきとう,appropriate; suitable; proper; reasonable,tekitou  
残り,のこり,remaining; leftover; balance,nokori  
戻す,もどす,to return; to put back; to restore,modosu  
体重,たいじゅう,body weight; weight,taiyuu  
どうせ,どうせ,anyway; in any case; after all,douse  
あれこれ,あれこれ,various things; this and that,arekore  
湖,みずうみ,lake,mizuumi  
とうとう, とうとう, finally; at last; in the end,toutou  
負け,まけ,defeat; loss; failure,make  
悔しい,くやしい,frustrating; vexing; regrettable,kurayashii  
姉妹,しまい,sisters; siblings,shimai  
助かる,たすかる,to be saved; to be helped,tasukaru  
手前,てまえ,this side; the front; one's own responsibility,temae  
さっぱり, さっぱり, refreshing; clean; neat; not at all,sappari  
ついで, ついで, in the process; incidentally; on the way,tsuide  
すっきり,すっきり, neat; tidy; clear; refreshed,sukkiri  
とんでもない, とんでもない, unthinkable; outrageous; absurd; no way,tondemonai  
坂,さか,hill; slope,saka  
飛び込む,とびこむ,to jump in; to dive in; to rush into,tobikomu  
コメント,コメント,comment; remark; feedback,komento  
書き直す,かきなおす,to rewrite; to revise;kakinaosu  
看護婦,かんごふ,nurse (female); care nurse,kangofu  
就職,しゅうしょく,getting a job; employment; finding a job,shuushoku  
糸,いと,thread; string; yarn,ito  
売り場,うりば,sales floor; department; section,uriba  
校長,こうちょう,principal (of a school),kouchou  
見学,けんがく,sightseeing; study visit; tour,kengaku  
進学,しんがく,advancing to a higher level of school,shingaku  
退院,たいいん,discharging from the hospital,taiin  
テント,テント,tent; camping tent,tento  
踊り,おどり,dance,odori  
植える,うえる,to plant; to grow; to establish,ueru  
幼稚園,ようちえん,kindergarten,youchien  
エアメール,エアメール,airmail; airmail,eamairu  
四季,しき,four seasons; seasonal changes; seasons, shiki  
ナイロン,ナイロン,nylon,nairon  
消防車,しょうぼうしゃ,fire engine; fire truck,shoubousha  
ハンドバッグ,ハンドバッグ,handbag; purse; bag,handobaggu  
農業,のうぎょう,agriculture; farming,nougyou  
アイロン,アイロン,iron (for clothes); ironing,airon  
ラッシュアワー,ラッシュアワー,rush hour,rasshuaa  
速達,そくたつ,express delivery; express mail,sokutatsu  
予習,よしゅう,preparation (for lessons); studying in advance,yoshuu  
書留,かきとめ,registered mail; recorded delivery,kakitome  
深さ,ふかさ,depth; deepness,fukasa  
ウィスキー,ウィスキー,whisky,uisukii  
シャープペンシル,シャープペンシル,mechanical pencil,shaapupenshiru  
取引,とりひき,transaction; deal; trade; business,torihiki  
設ける,もうける,to establish; to set up; to provide,moakeru  
一定,いってい,constant; fixed; definite; uniform,ittei  
記者,きしゃ,journalist; reporter,kisha  
基準,きじゅん,standard; criterion; basis,kijun  
傾向,けいこう,tendency; trend; inclination,keikou  
契約,けいやく,contract; agreement,keiyaku  
産業,さんぎょう,industry,sangyou  
事情,じじょう,circumstances; situation,jijou  
実行,じっこう,execution; implementation; practice,jikkou  
組織,そしき,organization;soshiki  
逮捕,たいほ,arrest; capture,taiho  
程度,ていど,degree; extent; level; standard,teido  
同様,どうよう,similar; same; equivalent,douyou  
要求,ようきゅう,request; demand; requirement,youkyuu  
貿易,ぼうえき,trade (foreign); commerce,boueki  
輸出,ゆしゅつ,export,yushutsu  
商業,しょうぎょう,commerce; business; trade,shougyou  
船便,ふなびん,sea mail; shipping,funabin  
選挙,せんきょ,election; voting,senkyo  
住民,じゅうみん,inhabitants; residents; citizens,juumin  
出席,しゅっせき,attendance; presence; appearance,shusseki  
発言,はつげん,remark; statement; speech; comment,hatsugen  
