French,English,Example
"compagnie","company; companionship","La compagnie des gens positifs élève ton esprit."
"sonner","to ring","Laisse ton cœur sonner l'heure de tes nouveaux départs."
"chaussure","shoe","Trouve la chaussure qui te fera marcher vers tes rêves."
"oreille","ear","Écoute ton oreille intérieure, elle connaît la voie à suivre."
"grand-mère","grandmother","Ma grand-mère disait que chaque épreuve est une bénédiction."
"ancien","former; ancient","Ton ancien toi ne définit pas qui tu es devenu."
"art","art","Fais de ta vie une œuvre d'art unique et inspirante."
"deviner","to guess; to figure out","Devine ta vraie valeur avant que le monde ne te la révèle."
"inutile","useless","Rien n'est inutile quand tu en tires une leçon de vie."
"ravir","to delight; to captivate","Ravie ton âme par la beauté de tes actions."
"blague","joke","Une blague partagée crée des liens indestructibles."
"avenir","future","Ton avenir se construit dès maintenant, brique après brique."
"beauté","beauty","La beauté réside dans la confiance que tu portes en toi."
"laisse","to let; to leave","Laisse ton cœur te guider vers ta vérité."
"course","race; run","La course de ta vie commence maintenant, ne t'arrête pas."
"manière","way; manner","Trouve ta propre manière de briller dans ce monde."
"traverser","to cross","Traverse tes peurs pour découvrir ta force intérieure."
"expérience","experience","Chaque expérience te rapproche de ta meilleure version."
"soin","care; attention","Prends soin de ton esprit comme de ton corps."
"hors","outside; except","Hors de ta zone de confort, tout devient possible."
"cour","courtyard; course","Dans la cour de la vie, choisis ta trajectoire."
"gauche","left","Tourne à gauche quand ton cœur te le souffle."
"stupide","stupid; foolish","Il est stupide de ne pas croire en son potentiel."
"retenir","to hold back; to remember","Retenir ta passion est le premier pas vers l'échec."
"liste","list","Fais une liste de tes objectifs et attaque-les un à un."
"remonter","to climb back; to recover","Remonte-toi le moral avec des pensées positives."
"réaliser","to realize; to achieve","Réalise tes rêves avant qu'ils ne deviennent regrets."
"i","letter i","La lettre i symbolise l'individu unique que tu es."
"moquer","to mock","Ne te moque jamais de tes rêves, ils sont ton moteur."
"étudier","to study","Étudie chaque échec pour transformer tes faiblesses en forces."
"installer","to install; to set up","Installe en toi la confiance comme fondation de tes succès."
"courage","courage","Le courage n'est pas l'absence de peur, mais l'action malgré elle."
"bleu","blue","Le bleu du ciel rappelle que tes possibilités sont infinies."
"secours","help; rescue","Demande secours quand tu en as besoin, la force réside dans l'humilité."
"milieu","middle; environment","Le milieu qui t'entoure influence ta destinée, choisis-le bien."
"proposer","to propose; to suggest","Propose-toi des défis et relève-les avec audace."
"m","letter m","La lettre m ouvre la porte de ta motivation."
"contact","contact; connection","Le contact avec tes mentors peut propulser ta carrière."
"inspecteur","inspector","L'inspecteur de ta vie est ta conscience, écoute-la."
"mignon","cute; sweet","Un geste mignon peut illuminer la journée de quelqu'un."
"projet","project","Ton projet de vie mérite d'être construit avec passion."
"probablement","probably; likely","Probablement, ton meilleur reste à venir."
"rôle","role","Joue ton rôle principal avec conviction et fierté."
"risque","risk","Chaque risque mesuré ouvre la voie à de grandes récompenses."
"action","action","L'action est la clé qui transforme les rêves en réalité."
"ange","angel","Sois l'ange gardien de tes propres espoirs."
"avance","advance; forward","Avance sans peur, car le monde appartient aux audacieux."
"intéressant","interesting","Chaque instant est intéressant quand tu le vis pleinement."
"parmi","among","Parmi tes peurs, choisis celle qui te propulsera vers l'avant."
"langue","language; tongue","La langue du succès est la persévérance."
"emporter","to take away; to carry","Emporte avec toi la force de tes convictions."
"thé","tea","Un thé partagé crée des liens authentiques."
"laquelle","which one (fem.)","Laquelle de tes idées deviendra ton prochain succès ?"
"colère","anger","Transforme ta colère en énergie constructive."
"départ","departure; start","Chaque départ est une nouvelle chance de briller."
"époque","era; time","Dans cette époque de changement, sois l'acteur du renouveau."
"engager","to engage; to hire","Engage-toi corps et âme dans tes passions."
"voleur","thief","Ne laisse pas la peur être le voleur de tes rêves."
"cesser","to cease; to stop","Cesse de douter et commence à croire en toi."
"tort","wrong; fault","Admets ton tort, apprends et grandis."
"vacance","vacation","Une vacance loin de tes peurs recharge ton esprit."
"là-haut","up there","Là-haut, tes rêves t'attendent, saisis-les."
"machine","machine","Fais de ton esprit une machine à réussir."
"signifier","to mean","Ce geste peut signifier le début d’une grande aventure."
"réparer","to repair","Répare tes erreurs passées pour avancer plus fort."
"bête","beast; stupid","Ne te traite pas de bête, apprends de chaque échec."
"construire","to build","Construis ta vie comme on bâtit un château, pierre par pierre."
"pain","bread; pain","Un morceau de pain partagé unit les cœurs les plus distants."
"bar","bar","Trouve le bar de tes rêves et célèbre chaque victoire."
"chier","to shit (slang)","Arrête de chier sur tes propres efforts et fais-toi confiance."
"club","club","Rejoins un club de passionnés et élève-toi avec eux."
"été","summer","Cet été, transforme tes rêves en réalité éclatante."
"horrible","horrible","Même dans l’horrible, tu peux découvrir une leçon de force."
"profiter","to take advantage","Profite de chaque instant, car le temps ne revient jamais."
"pierre","stone","Chaque pierre sur ton chemin est un pas vers ta réussite."
"pleuvoir","to rain","Laisse la pluie laver tes doutes et nourrir tes espoirs."
"plusieurs","several; many","Plusieurs opportunités t’attendent si tu oses les saisir."
"salope","bitch (slang)","Ignore les salopes qui veulent te freiner et avance."
"tel","such; like","Tel un oiseau, prends ton envol vers tes plus hauts rêves."
"glace","ice; ice cream","Une glace partagée fond aussi vite que les barrières tombent."
"présent","present; gift","Vis le présent comme le plus beau des cadeaux."
"décision","decision","Une seule décision peut changer le cours de ta vie."
"juge","judge","Ne laisse personne te juger, sauf toi-même avec bienveillance."
"contrôle","control","Reprends le contrôle de ton esprit pour diriger ton destin."
"séparer","to separate","Sépare-toi des pensées négatives pour laisser place à la clarté."
"sept","seven","Sept secondes de courage peuvent transformer ton avenir."
"maladie","illness","La maladie forge parfois la plus belle des résiliences."
"quartier","neighborhood","Ton quartier peut devenir le berceau de tes plus grands rêves."
"désirer","to desire","Désire l’excellence, puis travaille sans relâche pour l’atteindre."
"travers","across; through","À travers chaque épreuve, ta force intérieure grandit."
"dommage","damage; pity","Quel dommage de ne pas oser alors que tu en es capable."
"cigarette","cigarette","Abandonne la cigarette et respire la liberté à pleins poumons."
"traîner","to hang out; to drag","Ne traîne pas tes regrets, laisse-les derrière toi."
"respecter","to respect","Respecte-toi suffisamment pour ne jamais abandonner."
"époux","spouse","Ton époux est ton premier allié dans cette aventure de vie."
"tas","pile; heap","Un tas de petites victoires crée un triomphe monumental."
"enfuir","to flee","N’essaie pas de t’enfuir, affronte chaque défi avec bravoure."
"diriger","to lead; to direct","Dirige ta vie avec la même passion qu’un chef d’orchestre."
"crever","to die (slang); to burst","Crève l’abcès de tes peurs et libère ta vraie puissance."
"fil","thread; wire","Ce fil de conviction tisse la toile de ton succès."
"combat","fight; battle","Chaque combat gagné te rapproche de la victoire finale."
"poursuivre","to pursue","Poursuis tes rêves comme s’ils étaient déjà réalité."
"morceau","piece; bit","Chaque morceau de ton histoire construit ta légende."
"église","church","Cette église symbolise la foi inébranlable en tes rêves."
"directeur","director; manager","Sois le directeur de ton destin, pas un simple spectateur."
"demande","request; demand","Ta demande de succès doit être aussi forte que ton désir."
"forcer","to force","Ne force pas le destin, guide-le par ta détermination."
"bombe","bomb","Laisse ta passion exploser comme une bombe de créativité."
"j","I","J'ai choisi de ne jamais renoncer à mes rêves."
"lequel","which one","Lequel de tes rêves mérite toute ton attention aujourd'hui ?"
"espoir","hope","L’espoir est le moteur silencieux de tous les exploits."
"tueur","killer","Ton tueur de doutes est la confiance en toi."
"grandir","to grow","Grandis à chaque obstacle, car c’est là que naît la force."  
